"","x"
"1510",15.74
"1511",14.07
"1512",14.07
"1513",14.07
"1514",14.07
"1515",14.07
"1516",14.07
"1517",14.07
"1518",14.07
"1519",14.38
"1520",14.38
"1521",14.07
"1522",15.74
"1523",14.38
"1524",16.05
"1525",14.07
"1526",14.38
"1527",14.38
"1528",14.06
"1529",16.05
"1530",15.73
"1531",16.05
"1532",15.73
"1533",16.05
"1534",14.38
"1535",14.38
"1536",16.05
"1537",16.05
"1538",16.05
"1539",16.05
"1540",15.73
"1541",16.05
"1542",16.05
"1543",16.05
"1544",16.05
"1545",14.38
"1546",16.05
"1547",16.05
"1548",16.05
"1549",16.05
"1550",16.05
"1551",16.05
"1552",16.05
"1553",16.04
"1554",16.04
"1555",16.04
"1556",16.04
"1557",14.06
"1558",16.04
"1559",14.37
"1560",14.06
"1561",14.05
"1562",14.05
"1563",14.05
"1564",14.05
"1565",14.05
"1566",12.58
"1567",14.05
"1568",12.58
"1569",13.77
"1570",12.3
"1571",13.77
"1572",12.58
"1573",13.77
"1574",12.3
"1575",12.3
"1576",12.3
"1577",12.3
"1578",12.3
"1579",12.3
"1580",12.3
"1581",12.3
"1582",12.3
"1583",12.3
"1584",12.3
"1585",12.3
"1586",12.3
"1587",12.3
"1588",12.3
"1589",12.3
"1590",12.3
"1591",12.12
"1592",12.12
"1593",12.12
"1594",11.94
"1595",11.94
"1596",12.12
"1597",12.12
"1598",12.12
"1599",12.12
"1600",12.12
"1601",12.29
"1602",13.76
"1603",14.04
"1604",13.76
"1605",14.04
"1606",13.76
"1607",12.29
"1608",12.29
"1609",12.29
"1610",12.57
"1611",12.29
"1612",12.57
"1613",12.57
"1614",12.57
"1615",12.29
"1616",12.57
"1617",12.57
"1618",12.57
"1619",12.29
"1620",12.57
"1621",12.57
"1622",12.57
"1623",12.57
"1624",11.29
"1625",11.29
"1626",11.29
"1627",12.57
"1628",12.57
"1629",12.57
"1630",12.56
"1631",11.28
"1632",11.6
"1633",11.28
"1634",11.28
"1635",11.6
"1636",11.6
"1637",11.28
"1638",11.28
"1639",11.6
"1640",11.28
"1641",11.6
"1642",11.28
"1643",11.6
"1644",10.48
"1645",11.28
"1646",11.28
"1647",11.01
"1648",10.16
"1649",9.89
"1650",9.89
"1651",10.16
"1652",9.89
"1653",9.89
"1654",9.89
"1655",8.92
"1656",8.92
"1657",8.92
"1658",8.92
"1659",8.92
"1660",8.91
"1661",8.91
"1662",8.91
"1663",8.91
"1664",8.74
"1665",8.08
"1666",8.08
"1667",7.9
"1668",7.9
"1669",7.9
"1670",8.08
"1671",7.9
"1672",7.9
"1673",7.9
"1674",7.73
"1675",7.9
"1676",7.73
"1677",7.9
"1678",7.73
"1679",7.73
"1680",7.19
"1681",7.02
"1682",7.02
"1683",7.19
"1684",7.02
"1685",7.02
"1686",7.02
"1687",7.02
"1688",7.02
"1689",6.59
"1690",6.59
"1691",6.42
"1692",6.42
"1693",6.42
"1694",6.42
"1695",6.59
"1696",6.59
"1697",7.19
"1698",7.19
"1699",7.19
"1700",7.19
"1701",7.19
"1702",7.19
"1703",7.19
"1704",7.19
"1705",7.19
"1706",7.19
"1707",7.19
"1708",6.59
"1709",6.59
"1710",6.59
"1711",7.37
"1712",7.37
"1713",7.19
"1714",6.77
"1715",6.77
"1716",6.77
"1717",6.59
"1718",6.77
"1719",6.77
"1720",6.59
"1721",6.76
"1722",6.76
"1723",6.76
"1724",6.76
"1725",6.76
"1726",6.76
"1727",6.76
"1728",6.76
"1729",6.76
"1730",6.76
"1731",6.76
"1732",6.76
"1733",6.76
"1734",7.36
"1735",7.36
"1736",6.76
"1737",6.76
"1738",6.76
"1739",7.36
"1740",7.36
"1741",7.36
"1742",7.36
"1743",7.36
"1744",7.36
"1745",7.36
"1746",7.36
"1747",7.18
"1748",7.36
"1749",7.36
"1750",7.18
"1751",7.36
"1752",6.58
"1753",6.58
"1754",7.18
"1755",7.18
"1756",7.18
"1757",6.58
"1758",7.18
"1759",7.18
"1760",7.18
"1761",7.18
"1762",6.58
"1763",7.18
"1764",6.41
"1765",6.58
"1766",6.58
"1767",6.58
"1768",6.58
"1769",6.58
"1770",6.58
"1771",7.01
"1772",6.68
"1773",6.68
"1774",6.52
"1775",5.92
"1776",5.92
"1777",5.92
"1778",5.92
"1779",5.92
"1780",6.08
"1781",6.4
"1782",6.4
"1783",6.4
"1784",6.4
"1785",6.4
"1786",6.4
"1787",6.4
"1788",6.4
"1789",6.4
"1790",6.4
"1791",6.4
"1792",6.4
"1793",6.4
"1794",6.4
"1795",6.4
"1796",6.4
"1797",6.4
"1798",6.4
"1799",6.4
"1800",6.4
"1801",6.4
"1802",6.4
"1803",6.4
"1804",6.4
"1805",6.4
"1806",6.4
"1807",6.57
"1808",6.4
"1809",6.4
"1810",6.4
"1811",6.4
"1812",6.4
"1813",6.57
"1814",6.4
"1815",6.4
"1816",6.4
"1817",6.4
"1818",6.4
"1819",6.4
"1820",6.57
"1821",6.57
"1822",6.57
"1823",6.57
"1824",6.57
"1825",6.57
"1826",6.57
"1827",6.57
"1828",7.17
"1829",7.17
"1830",7.17
"1831",7.17
"1832",6.57
"1833",6.57
"1834",7.17
"1835",7.17
"1836",7.17
"1837",7.17
"1838",7.17
"1839",7.17
"1840",7.17
"1841",7.17
"1842",7.17
"1843",6.57
"1844",6.99
"1845",6.99
"1846",6.99
"1847",6.99
"1848",6.99
"1849",6.99
"1850",6.39
"1851",6.39
"1852",6.23
"1853",6.23
"1854",6.23
"1855",6.23
"1856",6.23
"1857",6.23
"1858",6.23
"1859",6.23
"1860",6.22
"1861",6.06
"1862",6.06
"1863",6.06
"1864",6.22
"1865",6.06
"1866",6.22
"1867",6.06
"1868",6.22
"1869",6.06
"1870",6.22
"1871",6.22
"1872",6.22
"1873",6.06
"1874",6.22
"1875",6.22
"1876",6.22
"1877",6.06
"1878",6.22
